geo,time,gender,life_expectancy
bel,2005,female,81.9
bel,2006,female,82.3
bel,2007,female,82.6
bel,2008,female,82.6
bel,2009,female,82.8
bel,2010,female,83
bel,2011,female,83.3
bel,2012,female,83.1
bel,2013,female,83.2
bel,2014,female,83.9
bel,2015,female,83.4
bel,2016,female,83.4
ben,1960,female,37.773
ben,1961,female,38.27
ben,1962,female,38.773
ben,1963,female,39.288
ben,1964,female,39.82
ben,1965,female,40.375
ben,1966,female,40.959
ben,1967,female,41.571
ben,1968,female,42.21
ben,1969,female,42.873
ben,1970,female,43.558
ben,1971,female,44.265
ben,1972,female,44.985
ben,1973,female,45.71
ben,1974,female,46.428
ben,1975,female,47.122
ben,1976,female,47.773
ben,1977,female,48.376
ben,1978,female,48.932
ben,1979,female,49.445
ben,1980,female,49.934
ben,1981,female,50.422
ben,1982,female,50.932
ben,1983,female,51.476
ben,1984,female,52.057
ben,1985,female,52.677
ben,1986,female,53.331
ben,1987,female,53.996
ben,1988,female,54.645
ben,1989,female,55.256
ben,1990,female,55.795
ben,1991,female,56.227
ben,1992,female,56.54
ben,1993,female,56.739
ben,1994,female,56.833
ben,1995,female,56.848
ben,1996,female,56.818
ben,1997,female,56.785
ben,1998,female,56.789
ben,1999,female,56.854
ben,2000,female,57.001
ben,2001,female,57.241
ben,2002,female,57.559
ben,2003,female,57.933
ben,2004,female,58.351
ben,2005,female,58.793
ben,2006,female,59.235
ben,2007,female,59.66
ben,2008,female,60.052
ben,2009,female,60.404
ben,2010,female,60.718
ben,2011,female,61.002
ben,2012,female,61.274
ben,2013,female,61.547
ben,2014,female,61.825
ben,2015,female,62.11
ben,2016,female,62.398
bfa,1960,female,35.553
bfa,1961,female,36.025
bfa,1962,female,36.503
bfa,1963,female,36.986
bfa,1964,female,37.474
bfa,1965,female,37.961
bfa,1966,female,38.441
bfa,1967,female,38.91
bfa,1968,female,39.37
bfa,1969,female,39.824
bfa,1970,female,40.278
bfa,1971,female,40.735
bfa,1972,female,41.206
bfa,1973,female,41.705
bfa,1974,female,42.242
bfa,1975,female,42.85
bfa,1976,female,43.561
bfa,1977,female,44.38
bfa,1978,female,45.288
bfa,1979,female,46.257
bfa,1980,female,47.234
bfa,1981,female,48.154
bfa,1982,female,48.962
bfa,1983,female,49.619
bfa,1984,female,50.106
bfa,1985,female,50.418
bfa,1986,female,50.571
bfa,1987,female,50.616
bfa,1988,female,50.601
bfa,1989,female,50.559
bfa,1990,female,50.516
bfa,1991,female,50.494
bfa,1992,female,50.498
bfa,1993,female,50.534
bfa,1994,female,50.613
bfa,1995,female,50.734
bfa,1996,female,50.887
bfa,1997,female,51.06
bfa,1998,female,51.249
bfa,1999,female,51.461
bfa,2000,female,51.712
bfa,2001,female,52.023
bfa,2002,female,52.409
bfa,2003,female,52.875
bfa,2004,female,53.421
bfa,2005,female,54.04
bfa,2006,female,54.721
bfa,2007,female,55.442
bfa,2008,female,56.178
bfa,2009,female,56.909
bfa,2010,female,57.616
bfa,2011,female,58.285
bfa,2012,female,58.912
bfa,2013,female,59.496
bfa,2014,female,60.035
bfa,2015,female,60.531
bfa,2016,female,60.992
bgd,1960,female,46.152
bgd,1961,female,46.776
bgd,1962,female,47.4
bgd,1963,female,48.009
bgd,1964,female,48.573
bgd,1965,female,49.003
bgd,1966,female,49.193
bgd,1967,female,49.105
bgd,1968,female,48.759
bgd,1969,female,48.218
bgd,1970,female,47.634
bgd,1971,female,47.198
bgd,1972,female,47.063
bgd,1973,female,47.315
bgd,1974,female,47.963
bgd,1975,female,48.937
bgd,1976,female,50.097
bgd,1977,female,51.258
bgd,1978,female,52.276
bgd,1979,female,53.096
bgd,1980,female,53.706
bgd,1981,female,54.147
